origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
MUC,HKG,48.353802,11.7861,22.308901,113.915001
MUC,LAX,48.353802,11.7861,33.94250107,-118.4079971
MUC,MIA,48.353802,11.7861,25.79319954,-80.29060364
MUC,SFO,48.353802,11.7861,37.61899948,-122.375
KUL,JED,2.745579958,101.7099991,21.6796,39.156502
KUL,HKG,2.745579958,101.7099991,22.308901,113.915001
KUL,MED,2.745579958,101.7099991,24.5534,39.705101
KUL,NRT,2.745579958,101.7099991,35.76470184,140.3860016
LHR,SIN,51.4706,-0.461941,1.35019,103.994003
MEL,LAX,-37.673302,144.843002,33.94250107,-118.4079971
MEL,SIN,-37.673302,144.843002,1.35019,103.994003
MEL,NRT,-37.673302,144.843002,35.76470184,140.3860016
SYD,DFW,-33.94609833,151.177002,32.896801,-97.038002
SYD,HKG,-33.94609833,151.177002,22.308901,113.915001
SYD,LAX,-33.94609833,151.177002,33.94250107,-118.4079971
SYD,SIN,-33.94609833,151.177002,1.35019,103.994003
DOH,FRA,25.273056,51.608056,50.033333,8.570556
DOH,CAN,25.273056,51.608056,23.39240074,113.2990036
DOH,LHR,25.273056,51.608056,51.4706,-0.461941
DOH,MEL,25.273056,51.608056,-37.673302,144.843002
DOH,CDG,25.273056,51.608056,49.012798,2.55
DOH,PER,25.273056,51.608056,-31.94029999,115.9670029
DOH,SYD,25.273056,51.608056,-33.94609833,151.177002
FRA,JFK,50.033333,8.570556,40.63980103,-73.77890015
SIN,AKL,1.35019,103.994003,-37.0080986,174.7920074
SIN,PEK,1.35019,103.994003,40.08010101,116.5849991
SIN,DEL,1.35019,103.994003,28.5665,77.103104
SIN,FRA,1.35019,103.994003,50.033333,8.570556
SIN,HKG,1.35019,103.994003,22.308901,113.915001
SIN,LHR,1.35019,103.994003,51.4706,-0.461941
SIN,MEL,1.35019,103.994003,-37.673302,144.843002
SIN,BOM,1.35019,103.994003,19.08869934,72.86789703
SIN,KIX,1.35019,103.994003,34.4272995,135.2440033
SIN,CDG,1.35019,103.994003,49.012798,2.55
SIN,PVG,1.35019,103.994003,31.14340019,121.8050003
SIN,SYD,1.35019,103.994003,-33.94609833,151.177002
SIN,NRT,1.35019,103.994003,35.76470184,140.3860016
SIN,ZRH,1.35019,103.994003,47.464699,8.54917
BKK,FRA,13.68109989,100.7470016,50.033333,8.570556
BKK,LHR,13.68109989,100.7470016,51.4706,-0.461941
BKK,KIX,13.68109989,100.7470016,34.4272995,135.2440033
BKK,NRT,13.68109989,100.7470016,35.76470184,140.3860016
BKK,HKG,13.68109989,100.7470016,22.308901,113.915001
CHC,SYD,-43.48939896,172.5319977,-33.94609833,151.177002
DXB,AMM,25.25279999,55.36439896,31.72260094,35.99319839
DXB,AMS,25.25279999,55.36439896,52.308601,4.76389
DXB,AKL,25.25279999,55.36439896,-37.0080986,174.7920074
DXB,BKK,25.25279999,55.36439896,13.68109989,100.7470016
DXB,BCN,25.25279999,55.36439896,41.2971,2.07846
DXB,PEK,25.25279999,55.36439896,40.08010101,116.5849991
DXB,BHX,25.25279999,55.36439896,52.45389938,-1.748029947
DXB,BOS,25.25279999,55.36439896,42.36429977,-71.00520325
DXB,BNE,25.25279999,55.36439896,-27.38419914,153.1170044
DXB,CAI,25.25279999,55.36439896,30.12190056,31.40559959
DXB,CMN,25.25279999,55.36439896,33.36750031,-7.589970112
DXB,CPH,25.25279999,55.36439896,55.61790085,12.65600014
DXB,DUS,25.25279999,55.36439896,51.289501,6.76678
DXB,FRA,25.25279999,55.36439896,50.033333,8.570556
DXB,CAN,25.25279999,55.36439896,23.39240074,113.2990036
DXB,HAM,25.25279999,55.36439896,53.63040161,9.988229752
DXB,HKG,25.25279999,55.36439896,22.308901,113.915001
DXB,IAH,25.25279999,55.36439896,29.9843998,-95.34140015
DXB,JED,25.25279999,55.36439896,21.6796,39.156502
DXB,JNB,25.25279999,55.36439896,-26.1392,28.246
DXB,KUL,25.25279999,55.36439896,2.745579958,101.7099991
DXB,LGW,25.25279999,55.36439896,51.148102,-0.190278
DXB,LHR,25.25279999,55.36439896,51.4706,-0.461941
DXB,LAX,25.25279999,55.36439896,33.94250107,-118.4079971
DXB,MAD,25.25279999,55.36439896,40.471926,-3.56264
DXB,MAN,25.25279999,55.36439896,53.35369873,-2.274950027
DXB,MRU,25.25279999,55.36439896,-20.430201,57.683601
DXB,MEL,25.25279999,55.36439896,-37.673302,144.843002
DXB,MXP,25.25279999,55.36439896,45.6306,8.72811
DXB,DME,25.25279999,55.36439896,55.40879822,37.90629959
DXB,BOM,25.25279999,55.36439896,19.08869934,72.86789703
DXB,MUC,25.25279999,55.36439896,48.353802,11.7861
DXB,MCT,25.25279999,55.36439896,23.59329987,58.28440094
DXB,JFK,25.25279999,55.36439896,40.63980103,-73.77890015
DXB,NCE,25.25279999,55.36439896,43.65840149,7.215869904
DXB,KIX,25.25279999,55.36439896,34.4272995,135.2440033
DXB,CDG,25.25279999,55.36439896,49.012798,2.55
DXB,PER,25.25279999,55.36439896,-31.94029999,115.9670029
DXB,PRG,25.25279999,55.36439896,50.1008,14.26
DXB,RUH,25.25279999,55.36439896,24.95759964,46.69879913
DXB,FCO,25.25279999,55.36439896,41.8002778,12.2388889
DXB,SFO,25.25279999,55.36439896,37.61899948,-122.375
DXB,GRU,25.25279999,55.36439896,-23.43555641,-46.47305679
DXB,ICN,25.25279999,55.36439896,37.46910095,126.4509964
DXB,PVG,25.25279999,55.36439896,31.14340019,121.8050003
DXB,SIN,25.25279999,55.36439896,1.35019,103.994003
DXB,SYD,25.25279999,55.36439896,-33.94609833,151.177002
DXB,TPE,25.25279999,55.36439896,25.0777,121.233002
DXB,NRT,25.25279999,55.36439896,35.76470184,140.3860016
DXB,YYZ,25.25279999,55.36439896,43.67720032,-79.63059998
DXB,VIE,25.25279999,55.36439896,48.11029816,16.56970024
DXB,IAD,25.25279999,55.36439896,38.94449997,-77.45580292
DXB,ZRH,25.25279999,55.36439896,47.464699,8.54917
DXB,JFK,25.25279999,55.36439896,40.63980103,-73.77890015
